# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-02-05 14:09:49 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12147600 SOUTH FORK TOLT RIVER NEAR INDEX, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12147600
#            TS   parameter     statistic     Description
#        256628       63680     00001     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Maximum)
#        256629       63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum)
#        256630       63680     00008     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Median)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	256628_63680_00001	256628_63680_00001_cd	256629_63680_00002	256629_63680_00002_cd	256630_63680_00008	256630_63680_00008_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	12147600	2019-12-03	0.6	P	0.5	P	0.6	P
USGS	12147600	2019-12-04	1.1	P	0.6	P	0.8	P
USGS	12147600	2019-12-05	0.9	P	0.6	P	0.6	P
USGS	12147600	2019-12-06	0.6	P	0.5	P	0.6	P
USGS	12147600	2019-12-07	0.8	P	0.5	P	0.6	P
USGS	12147600	2019-12-08	0.7	P	0.6	P	0.6	P
USGS	12147600	2019-12-09	0.6	P	0.5	P	0.6	P
USGS	12147600	2019-12-10	0.6	P	0.5	P	0.5	P
USGS	12147600	2019-12-11	0.7	P	0.5	P	0.6	P
USGS	12147600	2019-12-12	1.8	P	0.6	P	0.7	P
USGS	12147600	2019-12-13	1.8	P	0.8	P	1.0	P
USGS	12147600	2019-12-14	0.8	P	0.6	P	0.7	P
USGS	12147600	2019-12-15	0.7	P	0.6	P	0.6	P
USGS	12147600	2019-12-16	0.6	P	0.6	P	0.6	P
USGS	12147600	2019-12-17	0.6	P	0.5	P	0.6	P
USGS	12147600	2019-12-18	0.6	P	0.5	P	0.5	P
USGS	12147600	2019-12-19	31.8	P	0.6	P	0.7	P
USGS	12147600	2019-12-20	184	P	21.4	P	98.3	P
USGS	12147600	2019-12-21	44.9	P	1.5	P	7.0	P
USGS	12147600	2019-12-22	1.7	P	0.7	P	1.0	P
USGS	12147600	2019-12-23	0.9	P	0.6	P	0.7	P
USGS	12147600	2019-12-24	0.7	P	0.6	P	0.6	P
USGS	12147600	2019-12-25	0.7	P	0.6	P	0.6	P
USGS	12147600	2019-12-26	0.6	P	0.6	P	0.6	P
USGS	12147600	2019-12-27	0.6	P	0.5	P	0.6	P
USGS	12147600	2019-12-28	0.6	P	0.5	P	0.6	P
USGS	12147600	2019-12-29	0.6	P	0.5	P	0.6	P
USGS	12147600	2019-12-30	0.6	P	0.5	P	0.5	P
USGS	12147600	2019-12-31	89.1	P	0.6	P	3.2	P
USGS	12147600	2020-01-01	35.3	P	2.1	P	4.8	P
USGS	12147600	2020-01-02	3.1	P	0.8	P	1.2	P
USGS	12147600	2020-01-03	10.2	P	1.1	P	2.1	P
USGS	12147600	2020-01-04	2.9	P	0.8	P	1.1	P
USGS	12147600	2020-01-05	0.8	P	0.6	P	0.7	P
USGS	12147600	2020-01-06	202	P	0.6	P	54.4	P
USGS	12147600	2020-01-07	167	P	2.8	P	34.6	P
USGS	12147600	2020-01-08	4.1	P	1.0	P	1.5	P
USGS	12147600	2020-01-09	1.0	P	0.6	P	0.8	P
USGS	12147600	2020-01-10	0.8	P	0.6	P	0.7	P
USGS	12147600	2020-01-11	1.2	P	0.7	P	0.8	P
USGS	12147600	2020-01-12	2.0	P	0.6	P	0.8	P
USGS	12147600	2020-01-13	0.7	P	0.5	P	0.6	P
USGS	12147600	2020-01-14	1.1	P	0.6	P	0.6	P
USGS	12147600	2020-01-15	1.5	P	0.6	P	0.6	P
USGS	12147600	2020-01-16	1.0	P	0.6	P	0.6	P
USGS	12147600	2020-01-17	0.7	P	0.5	P	0.6	P
USGS	12147600	2020-01-18	0.8	P	0.5	P	0.6	P
USGS	12147600	2020-01-19	0.9	P	0.6	P	0.7	P
USGS	12147600	2020-01-20	0.7	P	0.5	P	0.6	P
