wateryear,mindate_SWE,minval_SWE,maxdate_SWE,maxval_SWE
1996,1996-05-14T00:00:00.000000000,0.0,1996-02-05T00:00:00.000000000,9.1
1997,1997-06-01T00:00:00.000000000,0.0,1997-04-14T00:00:00.000000000,46.8
1998,1998-05-05T00:00:00.000000000,0.0,1998-03-11T00:00:00.000000000,27.4
1999,1999-06-17T00:00:00.000000000,0.0,1999-04-10T00:00:00.000000000,53.2
2000,2000-05-29T00:00:00.000000000,0.0,2000-03-29T00:00:00.000000000,42.0
2001,2001-05-19T00:00:00.000000000,0.0,2001-04-14T00:00:00.000000000,21.3
2002,2002-06-18T00:00:00.000000000,0.0,2002-03-30T00:00:00.000000000,59.4
2003,2003-05-13T00:00:00.000000000,0.0,2003-04-08T00:00:00.000000000,11.0
2004,2004-05-03T00:00:00.000000000,0.0,2004-03-07T00:00:00.000000000,36.0
2005,2005-05-01T00:00:00.000000000,0.0,2005-04-16T00:00:00.000000000,5.6
2006,2006-05-21T00:00:00.000000000,0.0,2006-04-18T00:00:00.000000000,40.5
2007,2007-05-12T00:00:00.000000000,0.0,2007-03-01T00:00:00.000000000,32.7
2008,2008-07-04T00:00:00.000000000,0.0,2008-04-29T00:00:00.000000000,85.7
2009,2009-06-08T00:00:00.000000000,0.0,2009-04-18T00:00:00.000000000,64.3
2010,2010-05-18T00:00:00.000000000,0.0,2010-04-10T00:00:00.000000000,11.7
2011,2011-06-22T00:00:00.000000000,0.0,2011-05-04T00:00:00.000000000,45.8
2012,2012-06-13T00:00:00.000000000,0.0,2012-04-08T00:00:00.000000000,60.5
2013,2013-06-04T00:00:00.000000000,0.0,2013-03-29T00:00:00.000000000,55.4
2014,2014-05-23T00:00:00.000000000,0.0,2014-04-06T00:00:00.000000000,35.9
2015,2015-05-01T00:00:00.000000000,0.0,2015-01-05T00:00:00.000000000,5.4
2016,2016-05-01T00:00:00.000000000,0.0,2016-03-29T00:00:00.000000000,23.1
2017,2017-06-03T00:00:00.000000000,0.0,2017-03-10T00:00:00.000000000,43.0
2018,2018-05-29T00:00:00.000000000,0.0,2018-04-23T00:00:00.000000000,50.5
