wateryear,mindate_discharge,minval_discharge,maxdate_discharge,maxval_discharge
1961,1961-08-28T00:00:00.000000000,2.3,1961-02-21T00:00:00.000000000,942.0
1962,1962-09-09T00:00:00.000000000,7.7,1962-01-07T00:00:00.000000000,524.0
1963,1963-09-12T00:00:00.000000000,5.7,1962-11-19T00:00:00.000000000,743.0
1968,1968-08-13T00:00:00.000000000,5.4,1967-12-25T00:00:00.000000000,850.0
1969,1969-09-12T00:00:00.000000000,3.4,1969-01-04T00:00:00.000000000,820.0
1970,1970-08-30T00:00:00.000000000,2.8,1970-01-14T00:00:00.000000000,436.0
1971,1971-09-23T00:00:00.000000000,6.6,1971-01-19T00:00:00.000000000,656.0
1972,1972-09-01T00:00:00.000000000,5.7,1972-02-28T00:00:00.000000000,600.0
1973,1973-09-17T00:00:00.000000000,3.6,1973-01-13T00:00:00.000000000,568.0
1974,1974-10-25T00:00:00.000000000,4.4,1974-01-15T00:00:00.000000000,540.0
1975,1975-10-01T00:00:00.000000000,5.5,1975-01-17T00:00:00.000000000,729.0
1976,1976-10-23T00:00:00.000000000,4.9,1975-12-02T00:00:00.000000000,950.0
1977,1977-08-21T00:00:00.000000000,2.4,1977-01-18T00:00:00.000000000,397.0
1978,1978-08-09T00:00:00.000000000,3.5,1977-12-02T00:00:00.000000000,582.0
1979,1979-10-11T00:00:00.000000000,2.7,1979-03-06T00:00:00.000000000,320.0
1980,1980-08-16T00:00:00.000000000,2.7,1979-12-14T00:00:00.000000000,690.0
1981,1981-08-28T00:00:00.000000000,3.4,1981-02-16T00:00:00.000000000,802.0
1982,1982-08-28T00:00:00.000000000,4.6,1982-02-14T00:00:00.000000000,1070.0
1983,1983-08-27T00:00:00.000000000,5.6,1982-12-03T00:00:00.000000000,772.0
1984,1984-08-26T00:00:00.000000000,4.54,1984-01-04T00:00:00.000000000,753.0
1985,1985-08-29T00:00:00.000000000,3.96,1985-04-27T00:00:00.000000000,391.0
1986,1986-09-07T00:00:00.000000000,3.2,1985-11-01T00:00:00.000000000,683.0
1987,1987-10-29T00:00:00.000000000,5.5,1986-11-23T00:00:00.000000000,1160.0
1988,1988-09-14T00:00:00.000000000,6.9,1988-04-06T00:00:00.000000000,505.0
1989,1989-10-09T00:00:00.000000000,2.3,1989-04-05T00:00:00.000000000,657.0
1990,1990-09-30T00:00:00.000000000,3.6,1989-12-04T00:00:00.000000000,874.0
1991,1991-10-15T00:00:00.000000000,4.1,1990-11-09T00:00:00.000000000,1010.0
1992,1992-09-02T00:00:00.000000000,3.6,1992-01-23T00:00:00.000000000,500.0
1993,1993-10-04T00:00:00.000000000,2.5,1993-01-25T00:00:00.000000000,650.0
1994,1994-09-01T00:00:00.000000000,2.8,1993-12-01T00:00:00.000000000,259.0
1995,1995-09-25T00:00:00.000000000,3.0,1995-02-19T00:00:00.000000000,544.0
1996,1996-07-16T00:00:00.000000000,4.9,1995-11-08T00:00:00.000000000,596.0
1997,1997-09-09T00:00:00.000000000,2.2,1997-03-19T00:00:00.000000000,347.0
1998,1998-09-14T00:00:00.000000000,2.2,1997-12-16T00:00:00.000000000,359.0
1999,1999-10-04T00:00:00.000000000,3.1,1998-12-29T00:00:00.000000000,1020.0
2000,2000-09-05T00:00:00.000000000,4.7,1999-12-15T00:00:00.000000000,1000.0
2001,2001-09-23T00:00:00.000000000,4.5,2001-01-05T00:00:00.000000000,275.0
2002,2002-11-04T00:00:00.000000000,4.2,2002-02-22T00:00:00.000000000,806.0
2003,2003-09-04T00:00:00.000000000,3.1,2003-01-26T00:00:00.000000000,806.0
2004,2004-08-20T00:00:00.000000000,3.9,2003-11-18T00:00:00.000000000,1220.0
2005,2005-09-28T00:00:00.000000000,2.96,2005-01-18T00:00:00.000000000,1500.0
2006,2006-09-07T00:00:00.000000000,2.53,2005-12-24T00:00:00.000000000,607.0
2007,2007-09-14T00:00:00.000000000,6.26,2006-11-06T00:00:00.000000000,1350.0
2008,2008-09-19T00:00:00.000000000,7.32,2007-12-03T00:00:00.000000000,607.0
2009,2009-09-02T00:00:00.000000000,3.19,2009-01-07T00:00:00.000000000,1240.0
2010,2010-08-25T00:00:00.000000000,4.64,2009-11-17T00:00:00.000000000,269.0
2011,2011-09-14T00:00:00.000000000,5.46,2010-12-12T00:00:00.000000000,1160.0
2012,2012-09-08T00:00:00.000000000,3.16,2011-12-28T00:00:00.000000000,654.0
2013,2013-08-23T00:00:00.000000000,2.86,2013-04-05T00:00:00.000000000,524.0
2014,2014-09-17T00:00:00.000000000,3.94,2014-03-09T00:00:00.000000000,753.0
2015,2015-08-27T00:00:00.000000000,3.04,2015-01-05T00:00:00.000000000,1140.0
2016,2016-08-30T00:00:00.000000000,4.18,2015-11-13T00:00:00.000000000,1120.0
2017,2017-09-06T00:00:00.000000000,2.52,2017-03-15T00:00:00.000000000,574.0
2018,2018-09-07T00:00:00.000000000,3.79,2017-11-23T00:00:00.000000000,754.0
2019,2019-09-06T00:00:00.000000000,2.34,2018-11-02T00:00:00.000000000,793.0
2020,2020-09-16T00:00:00.000000000,2.6,2019-12-20T00:00:00.000000000,1030.0
