wateryear,mindate_meanwtemp,minval_meanwtemp,maxdate_meanwtemp,maxval_meanwtemp
1997,1996-12-26T00:00:00.000000000,0.1,1997-08-14T00:00:00.000000000,14.1
1998,1998-01-11T00:00:00.000000000,-0.2,1998-07-28T00:00:00.000000000,16.0
1999,1998-12-20T00:00:00.000000000,0.0,1999-08-05T00:00:00.000000000,12.6
2000,2000-01-30T00:00:00.000000000,0.7,2000-08-05T00:00:00.000000000,14.1
2001,2001-02-16T00:00:00.000000000,0.1,2001-08-13T00:00:00.000000000,14.1
2002,2002-03-20T00:00:00.000000000,0.1,2002-08-29T00:00:00.000000000,12.9
2003,2003-03-07T00:00:00.000000000,1.1,2003-07-31T00:00:00.000000000,15.8
2004,2004-01-05T00:00:00.000000000,0.1,2004-07-24T00:00:00.000000000,15.7
2005,2005-01-15T00:00:00.000000000,-0.0,2005-08-15T00:00:00.000000000,14.2
2006,2006-02-17T00:00:00.000000000,0.0,2006-07-23T00:00:00.000000000,15.1
2007,2006-12-29T00:00:00.000000000,1.2,2007-07-11T00:00:00.000000000,13.7
2008,2007-12-02T00:00:00.000000000,0.0,2008-08-17T00:00:00.000000000,13.0
2009,2008-12-15T00:00:00.000000000,0.0,2009-07-30T00:00:00.000000000,15.6
2010,2009-12-08T00:00:00.000000000,-0.0,2010-08-16T00:00:00.000000000,14.6
2011,2011-01-12T00:00:00.000000000,-0.0,2011-09-11T00:00:00.000000000,12.1
2012,2012-01-17T00:00:00.000000000,0.0,2012-08-17T00:00:00.000000000,14.2
2013,2013-01-03T00:00:00.000000000,0.4,2013-08-10T00:00:00.000000000,14.1
2014,2013-12-07T00:00:00.000000000,0.0,2014-08-12T00:00:00.000000000,14.9
2015,2014-12-30T00:00:00.000000000,1.5,2015-07-03T00:00:00.000000000,16.9
2016,2015-12-24T00:00:00.000000000,0.6,2016-08-19T00:00:00.000000000,14.5
2017,2017-01-07T00:00:00.000000000,0.2,2017-08-09T00:00:00.000000000,15.1
2018,2018-02-25T00:00:00.000000000,0.4,2018-08-09T00:00:00.000000000,15.4
2019,2019-02-11T00:00:00.000000000,0.0,2019-08-07T00:00:00.000000000,14.6
2020,2020-01-12T00:00:00.000000000,1.1,2020-08-17T00:00:00.000000000,14.5
