year,maxswe,max_swe_date,SWE_at_SP_melt,SP_melt_start_date,SP_melt_end_date,n_mwme,precip_total,min_discharge_date,min_discharge,max_discharge_date,max_discharge,zero_SWE_date,max_SWE_date,max_swe,mindate_meanwtemp,minval_meanwtemp,maxdate_meanwtemp,maxval_meanwtemp
1996,22.2,30-Dec,9.1,8-May,13-May,5,175,1996-07-16T00:00:00.000000000,4.9,1995-11-08T00:00:00.000000000,596,1996-05-14T00:00:00.000000000,1996-02-05T00:00:00.000000000,9.1,,,,
1997,46.8,14-Apr,41.9,2-May,1-Jun,2,184.9,1997-09-09T00:00:00.000000000,2.2,1997-03-19T00:00:00.000000000,347,1997-06-01T00:00:00.000000000,1997-04-14T00:00:00.000000000,46.8,1996-12-26T00:00:00.000000000,0.1,1997-08-14T00:00:00.000000000,14.1
1998,27.4,11-Mar,23.6,15-Apr,5-May,3,107.5,1998-09-14T00:00:00.000000000,2.2,1997-12-16T00:00:00.000000000,359,1998-05-05T00:00:00.000000000,1998-03-11T00:00:00.000000000,27.4,1998-01-11T00:00:00.000000000,-0.2,1998-07-28T00:00:00.000000000,16
1999,53.2,10-Apr,46,6-May,17-Jun,2,147.1,1999-10-04T00:00:00.000000000,3.1,1998-12-29T00:00:00.000000000,1020,1999-06-17T00:00:00.000000000,1999-04-10T00:00:00.000000000,53.2,1998-12-20T00:00:00.000000000,0,1999-08-05T00:00:00.000000000,12.6
2000,42,31-Mar,42,31-Mar,28-May,1,151.1,2000-09-05T00:00:00.000000000,4.7,1999-12-15T00:00:00.000000000,1000,2000-05-29T00:00:00.000000000,2000-03-29T00:00:00.000000000,42,2000-01-30T00:00:00.000000000,0.7,2000-08-05T00:00:00.000000000,14.1
2001,21.3,14-Apr,21.3,14-Apr,19-May,5,100.5,2001-09-23T00:00:00.000000000,4.5,2001-01-05T00:00:00.000000000,275,2001-05-19T00:00:00.000000000,2001-04-14T00:00:00.000000000,21.3,2001-02-16T00:00:00.000000000,0.1,2001-08-13T00:00:00.000000000,14.1
2002,59.4,30-Mar,50.9,9-May,18-Jun,5,164.3,2002-11-04T00:00:00.000000000,4.2,2002-02-22T00:00:00.000000000,806,2002-06-18T00:00:00.000000000,2002-03-30T00:00:00.000000000,59.4,2002-03-20T00:00:00.000000000,0.1,2002-08-29T00:00:00.000000000,12.9
2003,15.6,31-Dec,11,8-Apr,13-May,6,111.3,2003-09-04T00:00:00.000000000,3.1,2003-01-26T00:00:00.000000000,806,2003-05-13T00:00:00.000000000,2003-04-08T00:00:00.000000000,11,2003-03-07T00:00:00.000000000,1.1,2003-07-31T00:00:00.000000000,15.8
2004,36,7-Mar,30.7,3-Apr,3-May,5,158.7,2004-08-20T00:00:00.000000000,3.9,2003-11-18T00:00:00.000000000,1220,2004-05-03T00:00:00.000000000,2004-03-07T00:00:00.000000000,36,2004-01-05T00:00:00.000000000,0.1,2004-07-24T00:00:00.000000000,15.7
2005,8.1,13-Dec,5.6,18-Apr,27-Apr,7,127,2005-09-28T00:00:00.000000000,2.96,2005-01-18T00:00:00.000000000,1500,2005-05-01T00:00:00.000000000,2005-04-16T00:00:00.000000000,5.6,2005-01-15T00:00:00.000000000,0,2005-08-15T00:00:00.000000000,14.2
