year,maxswe,max_swe_date,SWE_at_SP_melt,SP_melt_start_date,SP_melt_end_date,n_mwme,precip_total,min_discharge_date,min_discharge,max_discharge_date,max_discharge,zero_SWE_date,max_SWE_date,max_swe,mindate_meanwtemp,minval_meanwtemp,maxdate_meanwtemp,maxval_meanwtemp,start_melt_date,end_melt_date,melt_period_days,melt_end_to_low_days,SWE0_to_low_flow_days,peak_melt_rate,SPsjul,SPejul,SWE0jul,peak_swe_jul,min_flow_jul,max_flow_jul
1996,22.2,30-Dec,9.1,8-May,13-May,5,175,7/16/96,4.9,11/8/95,596,5/14/96,2/5/96,9.1,nan,nan,nan,nan,5/8/96,5/13/96,5,64,63,1.82,129,134,135,36,198,312
1997,46.8,14-Apr,41.9,2-May,1-Jun,2,184.9,9/9/97,2.2,3/19/97,347,6/1/97,4/14/97,46.8,1996-12-26T00:00:00.000000000,0.1,1997-08-14T00:00:00.000000000,14.1,5/2/97,6/1/97,30,100,100,1.396666667,122,152,152,104,252,78
1998,27.4,11-Mar,23.6,15-Apr,5-May,3,107.5,9/14/98,2.2,12/16/97,359,5/5/98,3/11/98,27.4,1998-01-11T00:00:00.000000000,-0.2,1998-07-28T00:00:00.000000000,16,4/15/98,5/5/98,20,132,132,1.18,105,125,125,70,257,350
1999,53.2,10-Apr,46,6-May,17-Jun,2,147.1,10/4/99,3.1,12/29/98,1020,6/17/99,4/10/99,53.2,1998-12-20T00:00:00.000000000,0,1999-08-05T00:00:00.000000000,12.6,5/6/99,6/17/99,42,109,109,1.095238095,126,168,168,100,277,363
2000,42,31-Mar,42,31-Mar,28-May,1,151.1,9/5/00,4.7,12/15/99,1000,5/29/00,3/29/00,42,2000-01-30T00:00:00.000000000,0.7,2000-08-05T00:00:00.000000000,14.1,3/31/00,5/28/00,58,100,99,0.724137931,91,149,150,89,249,349
2001,21.3,14-Apr,21.3,14-Apr,19-May,5,100.5,9/23/01,4.5,1/5/01,275,5/19/01,4/14/01,21.3,2001-02-16T00:00:00.000000000,0.1,2001-08-13T00:00:00.000000000,14.1,4/14/01,5/19/01,35,127,127,0.608571429,104,139,139,104,266,5
2002,59.4,30-Mar,50.9,9-May,18-Jun,5,164.3,11/4/02,4.2,2/22/02,806,6/18/02,3/30/02,59.4,2002-03-20T00:00:00.000000000,0.1,2002-08-29T00:00:00.000000000,12.9,5/9/02,6/18/02,40,139,139,1.2725,129,169,169,89,308,53
2003,15.6,31-Dec,11,8-Apr,13-May,6,111.3,9/4/03,3.1,1/26/03,806,5/13/03,4/8/03,11,2003-03-07T00:00:00.000000000,1.1,2003-07-31T00:00:00.000000000,15.8,4/8/03,5/13/03,35,114,114,0.314285714,98,133,133,98,247,26
2004,36,7-Mar,30.7,3-Apr,3-May,5,158.7,8/20/04,3.9,11/18/03,1220,5/3/04,3/7/04,36,2004-01-05T00:00:00.000000000,0.1,2004-07-24T00:00:00.000000000,15.7,4/3/04,5/3/04,30,109,109,1.023333333,94,124,124,67,233,322
2005,8.1,13-Dec,5.6,18-Apr,27-Apr,7,127,9/28/05,2.96,1/18/05,1500,5/1/05,4/16/05,5.6,2005-01-15T00:00:00.000000000,0,2005-08-15T00:00:00.000000000,14.2,4/18/05,4/27/05,9,154,150,0.622222222,108,117,121,106,271,18
